[Wed Sep 29 07:58:47 2021] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\modules\main\models\Requests_model.php, LINE: 329
[Wed Sep 29 07:58:47 2021] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 436
[Wed Sep 29 07:58:47 2021] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 225
[Wed Sep 29 07:58:47 2021] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\modules\main\models\Requests_model.php, LINE: 286
[Wed Sep 29 07:58:47 2021] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 07:58:47 2021] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\modules\main\models\Requests_model.php, LINE: 309
[Wed Sep 29 07:58:47 2021] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 07:58:47 2021] [ERROR] [Base_Model->rlog_error] -> 203: SQLSTATE[08004] [1040] Too many connections, FILE: C:\Apache24\htdocs\application\modules\sysad\models\Permissions_model.php, LINE: 791
[Wed Sep 29 07:58:47 2021] [ERROR] [Requests->get_requests] -> SQLSTATE[08004] [1040] Too many connections, FILE: , LINE: 0
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 08:03:31 2021] [ERROR] [Ta_daily_time_record->generate_report_data] -> SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\controllers\Employee_dtr.php, LINE: 1700
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Ta_daily_time_record->generate_report_data] -> SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\controllers\Employee_dtr.php, LINE: 1700
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 08:03:31 2021] [ERROR] [Ta_daily_time_record->generate_report_data] -> SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\controllers\Employee_dtr.php, LINE: 1700
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 225
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Ta_daily_time_record->generate_report_data] -> SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\controllers\Employee_dtr.php, LINE: 1700
[Wed Sep 29 08:03:31 2021] [ERROR] [Ta_daily_time_record->generate_report_data] -> SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\controllers\Employee_dtr.php, LINE: 1700
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Employee_dtr->print_employee_dtr] -> SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: , LINE: 0
[Wed Sep 29 08:03:31 2021] [ERROR] [Ta_daily_time_record->generate_report_data] -> SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\controllers\Employee_dtr.php, LINE: 1700
[Wed Sep 29 08:03:31 2021] [ERROR] [Ta_daily_time_record->generate_report_data] -> SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\controllers\Employee_dtr.php, LINE: 1700
[Wed Sep 29 08:03:31 2021] [ERROR] [Ta_daily_time_record->generate_report_data] -> SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\controllers\Employee_dtr.php, LINE: 1700
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 08:03:31 2021] [ERROR] [Ta_daily_time_record->generate_report_data] -> SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\controllers\Employee_dtr.php, LINE: 1700
[Wed Sep 29 08:03:31 2021] [ERROR] [Ta_daily_time_record->generate_report_data] -> SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\controllers\Employee_dtr.php, LINE: 1700
[Wed Sep 29 08:03:31 2021] [ERROR] [Ta_daily_time_record->generate_report_data] -> SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\controllers\Employee_dtr.php, LINE: 1700
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
INE: 436
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
r_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 225
[Wed Sep 29 08:03:31 2021] [ERROR] [Employee_dtr->print_employee_dtr] -> SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: , LINE: 0
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
r_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 08:03:31 2021] [ERROR] [Ta_daily_time_record->generate_report_data] -> SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\modules\main\controllers\Employee_dtr.php, LINE: 1700
[Wed Sep 29 08:03:31 2021] [ERROR] [Employee_dtr->print_employee_dtr] -> SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: , LINE: 0
[Wed Sep 29 08:03:31 2021] [ERROR] [Employee_dtr->print_employee_dtr] -> SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: , LINE: 0
[Wed Sep 29 08:03:31 2021] [ERROR] [Ta_daily_time_record->generate_report_data] -> SQLSTATE[70100]: <<Unknown error>>: 1317 Query execution was interrupted, FILE: C:\Apache24\htdocs\application\modules\main\controllers\Employee_dtr.php, LINE: 1700
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Employee_dtr->print_employee_dtr] -> SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: , LINE: 0
[Wed Sep 29 08:03:31 2021] [ERROR] [Employee_dtr->print_employee_dtr] -> SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: , LINE: 0
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Employee_dtr->print_employee_dtr] -> SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: , LINE: 0
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Employee_dtr->print_employee_dtr] -> SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: , LINE: 0
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 185
[Wed Sep 29 08:03:31 2021] [ERROR] [Employee_dtr->print_employee_dtr] -> SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: , LINE: 0
[Wed Sep 29 08:03:31 2021] [ERROR] [Employee_dtr->print_employee_dtr] -> SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: , LINE: 0
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
[Wed Sep 29 08:03:31 2021] [ERROR] [Base_Model->rlog_error] -> 172: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, FILE: C:\Apache24\htdocs\application\modules\main\models\Employee_dtr_model.php, LINE: 258
