[Mon Feb 20 09:18:41 2023] [ERROR] [Compensation->process_employee_responsibility_code] -> 
				Remarks is required., FILE: , LINE: 0
[Mon Feb 20 09:56:12 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\modules\main\models\Deduction_model.php, LINE: 565
[Mon Feb 20 09:56:30 2023] [ERROR] [Base_Controller->rlog_error] -> Unable to delete: Deduction is being used by a generated payroll., FILE: C:\Apache24\htdocs\application\modules\main\controllers\Deductions.php, LINE: 3245
[Mon Feb 20 09:57:46 2023] [ERROR] [Base_Controller->rlog_error] -> Unable to delete: Deduction is being used by a generated payroll., FILE: C:\Apache24\htdocs\application\modules\main\controllers\Deductions.php, LINE: 3245
[Mon Feb 20 10:04:12 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 436
[Mon Feb 20 10:04:12 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 225
[Mon Feb 20 10:04:12 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\modules\main\models\Deduction_model.php, LINE: 565
[Mon Feb 20 10:04:38 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attendance_period_hdr_id' cannot be null, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 886
[Mon Feb 20 10:04:38 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attendance_period_hdr_id' cannot be null, FILE: C:\Apache24\htdocs\application\modules\main\models\Deduction_model.php, LINE: 602
[Mon Feb 20 10:04:38 2023] [ERROR] [Deductions->process_other_deductions] -> An error occurred while saving the record. Please try again later., FILE: , LINE: 0
[Mon Feb 20 10:06:43 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 436
[Mon Feb 20 10:06:43 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 225
[Mon Feb 20 10:06:43 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\modules\main\models\Deduction_model.php, LINE: 565
[Mon Feb 20 10:06:59 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attendance_period_hdr_id' cannot be null, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 886
[Mon Feb 20 10:06:59 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attendance_period_hdr_id' cannot be null, FILE: C:\Apache24\htdocs\application\modules\main\models\Deduction_model.php, LINE: 602
[Mon Feb 20 10:06:59 2023] [ERROR] [Deductions->process_other_deductions] -> An error occurred while saving the record. Please try again later., FILE: , LINE: 0
[Mon Feb 20 10:07:06 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attendance_period_hdr_id' cannot be null, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 886
[Mon Feb 20 10:07:06 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attendance_period_hdr_id' cannot be null, FILE: C:\Apache24\htdocs\application\modules\main\models\Deduction_model.php, LINE: 602
[Mon Feb 20 10:07:06 2023] [ERROR] [Deductions->process_other_deductions] -> An error occurred while saving the record. Please try again later., FILE: , LINE: 0
[Mon Feb 20 10:08:04 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 436
[Mon Feb 20 10:08:04 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 225
[Mon Feb 20 10:08:04 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\modules\main\models\Deduction_model.php, LINE: 565
[Mon Feb 20 10:08:11 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attendance_period_hdr_id' cannot be null, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 886
[Mon Feb 20 10:08:11 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attendance_period_hdr_id' cannot be null, FILE: C:\Apache24\htdocs\application\modules\main\models\Deduction_model.php, LINE: 602
[Mon Feb 20 10:08:11 2023] [ERROR] [Deductions->process_other_deductions] -> An error occurred while saving the record. Please try again later., FILE: , LINE: 0
[Mon Feb 20 10:08:18 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attendance_period_hdr_id' cannot be null, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 886
[Mon Feb 20 10:08:18 2023] [ERROR] [Base_Model->rlog_error] -> 873: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attendance_period_hdr_id' cannot be null, FILE: C:\Apache24\htdocs\application\modules\main\models\Deduction_model.php, LINE: 602
[Mon Feb 20 10:08:18 2023] [ERROR] [Deductions->process_other_deductions] -> An error occurred while saving the record. Please try again later., FILE: , LINE: 0
[Mon Feb 20 10:09:37 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 436
[Mon Feb 20 10:09:37 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 225
[Mon Feb 20 10:09:37 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\modules\main\models\Deduction_model.php, LINE: 565
[Mon Feb 20 10:10:00 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 436
